nct_id,nct_id_original,pt_cohort,include,concept_id,concept_name,domain,negation,concept_group_id,start_index,end_index,entity_source_text,temporal_source_text,before_days,numeric_source_text,numeric_att_min,numeric_att_max,is_exclusion,to_display
NCT04337216,NCT04337216,1,0,38004515,Hospital,Visit,0,,479,491,Hospitalized,within the 4 weeks,28,,#NAME?,Infinity,,1
NCT04418505,NCT04418505,1,0,38004515,Hospital,Visit,0,,175,190,hospitalization,at the time of diagnosis,10000,,#NAME?,Infinity,,1
NCT04436276,NCT04436276_1,1,0,8676,Nursing Facility,Visit,0,1659382610,4218,4231,nursing homes,,0,,#NAME?,Infinity,,1
NCT04436276,NCT04436276_1,1,0,38004277,Long Term Care Hospital,Visit,0,1659382610,4235,4260,long-term care facilities,,0,,#NAME?,Infinity,,1
NCT04436276,NCT04436276_2,2,0,8676,Nursing Facility,Visit,0,1659383210,4218,4231,nursing homes,,0,,#NAME?,Infinity,,1
NCT04436276,NCT04436276_2,2,0,38004277,Long Term Care Hospital,Visit,0,1659383210,4235,4260,long-term care facilities,,0,,#NAME?,Infinity,,1
NCT04436276,NCT04436276_3,3,0,8676,Nursing Facility,Visit,0,1659383810,4218,4231,nursing homes,,0,,#NAME?,Infinity,,1
NCT04436276,NCT04436276_3,3,0,38004277,Long Term Care Hospital,Visit,0,1659383810,4235,4260,long-term care facilities,,0,,#NAME?,Infinity,,1
NCT04469179,NCT04469179,1,0,38004515,Hospital,Visit,0,1659408310,2005,2020,Hospitalization,,0,,#NAME?,Infinity,,1
NCT04469179,NCT04469179,1,0,38004515,Hospital,Visit,0,1659408310,2033,2048,hospitalization,,0,,#NAME?,Infinity,,1
NCT04469179,NCT04469179,1,0,38004515,Hospital,Visit,0,,2994,3009,hospitalization,within seven days prior to infusion,7,,#NAME?,Infinity,,1
NCT04472728,NCT04472728,1,1,38004515,Hospital,Visit,0,1659413510,257,269,Hospitalized,,0,,#NAME?,Infinity,,1
NCT04472728,NCT04472728,1,1,38004515,Hospital,Visit,0,1659413510,303,315,hospitalized,,0,,#NAME?,Infinity,,1
NCT04487444,NCT04487444,1,1,38004515,Hospital,Visit,0,,98,110,Hospitalized,receiving,0,,#NAME?,Infinity,,1
NCT04532411,NCT04532411,1,1,9202,Outpatient Visit,Visit,0,,59,69,outpatient,,0,,#NAME?,Infinity,,1
NCT04532411,NCT04532411,1,0,38004522,Department Store,Visit,0,1659470310,318,338,Emergency Department,,0,,#NAME?,Infinity,,1
NCT04532411,NCT04532411,1,0,9201,Inpatient Visit,Visit,0,1659470310,342,351,Inpatient,,0,,#NAME?,Infinity,,1
NCT04537299,NCT04537299,1,1,8676,Nursing Facility,Visit,0,,75,96,nursing home resident,at time of randomization,0,,#NAME?,Infinity,,1
NCT04539275,NCT04539275,1,1,38004284,Psychiatric Hospital,Visit,0,,104,148,Admitted to a participating VA clinical site,History of,0,,#NAME?,Infinity,,1
NCT04540406,NCT04540406,1,1,32759,Home isolation,Visit,0,,977,991,home isolation,within the last 30 days,30,,#NAME?,Infinity,,1
NCT04545047,NCT04545047,1,1,9201,Inpatient Visit,Visit,0,,120,146,Admitted to inpatient care,within 48 hours of admission,2,,#NAME?,Infinity,,1
NCT04545047,NCT04545047,1,0,32037,Intensive Care,Visit,0,,238,272,admitted to an intensive care unit,within 48 hours of admission,2,,#NAME?,Infinity,,1
NCT04545060,NCT04545060,1,0,38004515,Hospital,Visit,0,,345,357,hospitalized,less than or equal to 5 days from onset of symptoms,5,,#NAME?,Infinity,,1
NCT04547283,NCT04547283,1,1,38004515,Hospital,Visit,0,,23,35,hospitalized,,0,,#NAME?,Infinity,,1
NCT04547283,NCT04547283,1,1,38004515,Hospital,Visit,0,,115,127,Hospitalized,,0,,#NAME?,Infinity,,1
NCT03474965,NCT03474965,1,1,4178879,Hemoglobin S,Observation,0,1659141210,298,302,HbSS,,0,,#NAME?,Infinity,,1
NCT03648372,NCT03648372_covid,1,0,4284984,Concurrent,Observation,0,,6087,6097,Concurrent,History of,0,,#NAME?,Infinity,,1
NCT03648372,NCT03648372_other,2,1,42528934,Participant identifier,Observation,0,,1301,1331,for participants with lymphoma,<=4 weeks before the start of treatment,28,,#NAME?,Infinity,,1
